TestData 1 (pathid=9),PIC,Input Data,Hex Format,Alt Data,Alt Hex Data,isInt,isArbitrary
RACUST1::/WS-HEADER/WS-ADDR-DFHCOMMAREA,,"'00000000'","'00000000'","","",false,true,
RACUST1::/WS-COMMAREA-LENGTHS/WS-CA-HEADER-LEN,S9(4),"'1979'","'07bb'","","",true,false,
RACUST1::/WS-COMMAREA-LENGTHS/WS-REQUIRED-CA-LEN,S9(4),"'-7791'","'f7f7f9d1'","","",true,false,
RACUST1::/WS-POLICY-LENGTHS/WS-CUSTOMER-LEN,S9(4),"'7797'","'1e75'","","",true,false,
RACUST1::/DFHEIBLK/EIBCALEN,S9(4),"'1984'","'f1f9f8c4'","","",true,false,

TestData 2 (pathid=10),PIC,Input Data,Hex Format,Alt Data,Alt Hex Data,isInt,isArbitrary
RACUST1::/WS-HEADER/WS-ADDR-DFHCOMMAREA,,"'00000000'","'00000000'","","",false,true,
RACUST1::/DFHEIBLK/EIBCALEN,S9(4),"'-0000'","'f0f0f0d0'","","",true,false,

TestData 3 (pathid=11),PIC,Input Data,Hex Format,Alt Data,Alt Hex Data,isInt,isArbitrary
RACUST1::/WS-HEADER/WS-ADDR-DFHCOMMAREA,,"'00000000'","'00000000'","","",false,true,
RACUST1::/WS-COMMAREA-LENGTHS/WS-CA-HEADER-LEN,S9(4),"'-9997'","'d8f3'","","",true,false,
RACUST1::/WS-COMMAREA-LENGTHS/WS-REQUIRED-CA-LEN,S9(4),"'-5756'","'f5f7f5d6'","","",true,false,
RACUST1::/WS-POLICY-LENGTHS/WS-CUSTOMER-LEN,S9(4),"'6953'","'1b29'","","",true,false,
RACUST1::/DFHEIBLK/EIBCALEN,S9(4),"'5559'","'f5f5f5c9'","","",true,false,
EXEC: 0:CICS:LINK:0: 0
RACUST1::/DFHCOMMAREA-1/CA-REQUEST-ID,X(6),"'AAAAAA'","'c1c1c1c1c1c1'","","",false,true,
RACUST1::/DFHCOMMAREA-1/CA-RETURN-CODE,9(2),"'00'","'f0f0'","","",true,false,
