2025-03-25 06:53:25.237 [main] INFO  AUGEN: Program-id: RACUST1
2025-03-25 06:53:25.282 [main] INFO  AUGEN: generateIR(): Section: MAINLINE, Paragraph: Obtain-CUSTOMER-Number
2025-03-25 06:53:26.904 [main] INFO  AUGEN: Run SymbolicExecution : start
2025-03-25 06:53:28.572 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():70ms998us300ns
2025-03-25 06:53:28.648 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():74ms997us300ns
2025-03-25 06:53:28.848 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():197ms998us500ns
2025-03-25 06:53:29.348 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-25 06:53:29.374 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():23ms989us500ns
2025-03-25 06:53:29.428 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():53ms15us300ns
2025-03-25 06:53:29.431 [main] INFO  AUGEN: Run SymbolicExecution : finished
2025-03-25 06:53:29.453 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:3ms7us200ns
2025-03-25 06:53:30.414 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():745ms975us200ns
2025-03-25 06:53:30.500 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():80ms987us
2025-03-25 06:53:30.620 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():117ms
2025-03-25 06:53:30.996 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:372ms999us400ns
2025-03-25 06:53:31.315 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():198ms999us600ns
2025-03-25 06:53:31.323 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():7ms20us100ns
2025-03-25 06:53:31.363 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():36ms987us
2025-03-25 06:53:31.378 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:14ms5us600ns
2025-03-25 06:53:31.384 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-25 06:53:31.391 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:4ms200ns
2025-03-25 06:53:31.700 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():93ms10us600ns
2025-03-25 06:53:31.767 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():66ms15us700ns
2025-03-25 06:53:31.829 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():61ms10us500ns
2025-03-25 06:53:32.015 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:183ms989us500ns
2025-03-25 06:53:32.081 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():23ms600ns
2025-03-25 06:53:32.083 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():0[ps]
2025-03-25 06:53:32.118 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():34ms994us200ns
2025-03-25 06:53:32.123 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:4ms7us700ns
2025-03-25 06:53:32.124 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-25 06:53:32.864 [main] INFO  AUGEN: generateIR(): Section: MAINLINE, Paragraph: INSERT-CUSTOMER
2025-03-25 06:53:33.021 [main] INFO  AUGEN: Run SymbolicExecution : start
2025-03-25 06:53:33.279 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():1ms1us400ns
2025-03-25 06:53:33.281 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():2ms9us
2025-03-25 06:53:33.469 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():187ms1us800ns
2025-03-25 06:53:33.549 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-25 06:53:33.587 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():36ms5us100ns
2025-03-25 06:53:33.818 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():230ms500ns
2025-03-25 06:53:34.086 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():1ms2us100ns
2025-03-25 06:53:34.094 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():8ms1us
2025-03-25 06:53:34.142 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():46ms7us700ns
2025-03-25 06:53:34.181 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():1ms3us
2025-03-25 06:53:34.222 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():40ms997us800ns
2025-03-25 06:53:34.473 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():250ms12us
2025-03-25 06:53:35.146 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-25 06:53:35.172 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():24ms6us500ns
2025-03-25 06:53:35.344 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():172ms12us700ns
2025-03-25 06:53:35.515 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-25 06:53:35.562 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():45ms6us600ns
2025-03-25 06:53:40.579 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():5s16ms997us100ns
2025-03-25 06:53:40.581 [main] INFO  AUGEN: Run SymbolicExecution : finished
