OccurID	ProgID	ParaID	StatementType	PathID	StartRow	EndRow	StartCol	EndCol	SourceType	StmtInfo	ScopeID
2	1	0	44	1	61	61	12	26	1	2		
3	1	0	210	1	65	67	12	20	1	2		
4	1	0	210	1	69	71	12	20	1	2		
5	1	0	226	5	27	38	12	23	4	2		
6	1	0	226	5	40	45	12	23	4	2		
7	1	0	226	5	47	58	12	23	4	2		
8	1	0	226	5	60	70	12	23	4	2		
9	1	0	226	5	72	80	12	23	4	2		
10	1	0	226	5	82	93	12	23	4	2		
11	1	0	226	5	95	116	12	23	4	2		
12	1	0	226	5	119	127	12	23	4	2		
13	1	0	210	1	75	77	12	20	1	2		
14	1	1	24	1	86	86	12	33	1	2		
15	1	1	27	1	88	88	12	40	1	2		
16	1	1	27	1	89	89	12	39	1	2		
17	1	1	27	1	90	90	12	40	1	2		
18	1	1	24	1	95	95	12	40	1	2		
19	1	1	23	1	101	105	12	18	1	2		
20	1	1	27	1	102	102	16	59	1	1		
21	1	1	30	1	103	103	16	43	1	1		
22	1	1	56	1	104	104	16	62	1	1		
23	1	1	27	1	108	108	12	39	1	2		
24	1	1	27	1	109	109	12	38	1	2		
25	1	1	36	1	110	110	12	64	1	2		
26	1	1	8	1	113	113	12	54	1	2		
27	1	1	8	1	114	114	12	54	1	2		
28	1	1	23	1	117	120	12	18	1	2		
29	1	1	27	1	118	118	14	41	1	1		
30	1	1	141	1	119	119	14	39	1	1		
31	1	1	30	1	123	123	12	43	1	2		
32	1	1	30	1	124	124	12	36	1	2		
33	1	1	391	1	126	129	12	21	1	2		
34	1	1	27	1	131	131	12	56	1	2		
35	1	1	27	1	132	132	12	48	1	2		
36	1	1	27	1	133	134	12	51	1	2		
37	1	1	27	1	135	135	12	52	1	2		
38	1	1	27	1	136	136	12	52	1	2		
39	1	1	391	1	138	141	12	21	1	2		
40	1	1	23	1	143	145	12	18	1	2		
41	1	1	141	1	144	144	14	39	1	1		
42	1	1	141	1	148	148	12	38	1	2		
63	1	2	27	1	240	240	12	36	1	2		
64	1	2	127	1	242	243	12	20	1	2		
65	1	2	130	1	244	247	12	20	1	2		
66	1	2	27	1	248	248	12	35	1	2		
67	1	2	27	1	249	249	12	35	1	2		
68	1	2	138	1	251	254	12	21	1	2		
69	1	2	23	1	256	270	12	19	1	2		
70	1	2	23	1	257	269	14	20	1	1		
71	1	2	27	1	258	258	16	57	1	1		
72	1	2	138	1	259	262	16	24	1	1		
73	1	2	27	1	264	264	16	51	1	1		
74	1	2	138	1	265	268	16	24	1	1		
75	1	2	19	1	271	271	12	17	1	2		
76	1	2	20	1	273	273	12	25	1	2		
43	1	3	3561	1	152	156	12	21	1	2		
44	1	3	23	1	157	162	12	19	1	2		
45	1	3	27	1	158	158	14	35	1	1		
46	1	3	24	1	159	159	14	44	1	1		
47	1	3	27	1	161	161	14	54	1	1		
48	1	4	27	1	168	168	12	48	1	2		
49	1	4	23	1	170	232	12	19	1	2		
50	1	4	211	1	171	193	14	22	1	1		
51	1	4	23	1	194	198	14	20	1	1		
52	1	4	27	1	195	195	16	43	1	1		
53	1	4	30	1	196	196	16	43	1	1		
54	1	4	141	1	197	197	16	41	1	1		
55	1	4	211	1	200	222	14	22	1	1		
56	1	4	23	1	223	227	14	20	1	1		
57	1	4	27	1	224	224	16	43	1	1		
58	1	4	30	1	225	225	16	43	1	1		
59	1	4	141	1	226	226	16	41	1	1		
60	1	4	0	1	229	231	16	24	1	1		
61	1	4	27	1	234	234	12	56	1	2		
62	1	4	19	1	236	236	12	17	1	2		
