SqlFieldID	SqlTableID	FieldName	Type	iSize	bUnique	bPrimaryKey	ForeignKey	TableReference	IsIndex	bNotNull	szDefault
1	1	CUSTOMERNUMBER	2	5	0	0	0	""	0	-1		
2	1	FIRSTNAME	6	11	0	0	0	""	0	0		
3	1	LASTNAME	6	21	0	0	0	""	0	0		
4	1	DATEOFBIRTH	5	5	0	0	0	""	0	0		
5	1	HOUSENAME	6	21	0	0	0	""	0	0		
6	1	HOUSENUMBER	6	5	0	0	0	""	0	0		
7	1	POSTCODE	6	9	0	0	0	""	0	0		
8	1	PHONEHOME	6	21	0	0	0	""	0	0		
9	1	PHONEMOBILE	6	21	0	0	0	""	0	0		
10	1	EMAILADDRESS	6	101	0	0	0	""	0	0		
11	2	CUSTOMERNUMBER	2	5	0	0	0	""	0	-1		
12	2	CUSTOMERPASS	6	33	0	0	0	""	0	0		
13	2	STATE_INDICATOR	6	2	0	0	0	""	0	0		
14	2	PASS_CHANGES	2	5	0	0	0	""	0	0		
15	3	POLICYNUMBER	2	5	0	0	0	""	0	-1		
16	3	CUSTOMERNUMBER	2	5	0	0	0	""	0	-1		
17	3	ISSUEDATE	5	5	0	0	0	""	0	0		
18	3	EXPIRYDATE	5	5	0	0	0	""	0	0		
19	3	POLICYTYPE	6	2	0	0	0	""	0	0		
20	3	LASTCHANGED	5	11	0	0	0	""	0	-1		
21	3	BROKERID	2	5	0	0	0	""	0	0		
22	3	BROKERSREFERENCE	6	11	0	0	0	""	0	0		
23	3	PAYMENT	2	5	0	0	0	""	0	0		
24	3	COMMISSION	2	3	0	0	0	""	0	0		
25	4	POLICYNUMBER	2	5	0	0	0	""	0	-1		
26	4	EQUITIES	6	2	0	0	0	""	0	0		
27	4	WITHPROFITS	6	2	0	0	0	""	0	0		
28	4	MANAGEDFUND	6	2	0	0	0	""	0	0		
29	4	FUNDNAME	6	11	0	0	0	""	0	0		
30	4	TERM	2	3	0	0	0	""	0	0		
31	4	SUMASSURED	2	5	0	0	0	""	0	0		
32	4	LIFEASSURED	6	32	0	0	0	""	0	0		
33	4	PADDINGDATA	7	2000	0	0	0	""	0	0		
34	5	POLICYNUMBER	2	5	0	0	0	""	0	-1		
35	5	PROPERTYTYPE	6	16	0	0	0	""	0	0		
36	5	BEDROOMS	2	3	0	0	0	""	0	0		
37	5	VALUE	2	5	0	0	0	""	0	0		
38	5	HOUSENAME	6	21	0	0	0	""	0	0		
39	5	HOUSENUMBER	6	5	0	0	0	""	0	0		
40	5	POSTCODE	6	9	0	0	0	""	0	0		
41	6	POLICYNUMBER	2	5	0	0	0	""	0	-1		
42	6	MAKE	6	16	0	0	0	""	0	0		
43	6	MODEL	6	16	0	0	0	""	0	0		
44	6	VALUE	2	5	0	0	0	""	0	0		
45	6	REGNUMBER	6	8	0	0	0	""	0	0		
46	6	COLOUR	6	9	0	0	0	""	0	0		
47	6	CC	2	3	0	0	0	""	0	0		
48	6	YEAROFMANUFACTURE	5	5	0	0	0	""	0	0		
49	6	PREMIUM	2	5	0	0	0	""	0	0		
50	6	ACCIDENTS	2	5	0	0	0	""	0	0		
51	7	POLICYNUMBER	2	5	0	0	0	""	0	-1		
52	7	REQUESTDATE	5	11	0	0	0	""	0	0		
53	7	STARTDATE	5	5	0	0	0	""	0	0		
54	7	RENEWALDATE	5	5	0	0	0	""	0	0		
55	7	ADDRESS	6	254	0	0	0	""	0	0		
56	7	ZIPCODE	6	9	0	0	0	""	0	0		
57	7	LATITUDEN	6	12	0	0	0	""	0	0		
58	7	LONGITUDEW	6	12	0	0	0	""	0	0		
59	7	CUSTOMER	6	254	0	0	0	""	0	0		
60	7	PROPERTYTYPE	6	254	0	0	0	""	0	0		
61	7	FIREPERIL	2	3	0	0	0	""	0	0		
62	7	FIREPREMIUM	2	5	0	0	0	""	0	0		
63	7	CRIMEPERIL	2	3	0	0	0	""	0	0		
64	7	CRIMEPREMIUM	2	5	0	0	0	""	0	0		
65	7	FLOODPERIL	2	3	0	0	0	""	0	0		
66	7	FLOODPREMIUM	2	5	0	0	0	""	0	0		
67	7	WEATHERPERIL	2	3	0	0	0	""	0	0		
68	7	WEATHERPREMIUM	2	5	0	0	0	""	0	0		
69	7	STATUS	2	3	0	0	0	""	0	0		
70	7	REJECTIONREASON	6	254	0	0	0	""	0	0		
71	8	CLAIMNUMBER	2	5	0	0	0	""	0	-1		
72	8	POLICYNUMBER	2	5	0	0	0	""	0	-1		
73	8	CLAIMDATE	5	5	0	0	0	""	0	0		
74	8	PAID	2	5	0	0	0	""	0	0		
75	8	VALUE	2	5	0	0	0	""	0	0		
76	8	CAUSE	6	254	0	0	0	""	0	0		
77	8	OBSERVATIONS	6	254	0	0	0	""	0	0		
