RefID	OccurID	StartRow	StartCol	StatementType	ResourceID	ResourceType	bRead
1	2	61	17	44	1	13	0	
2	3	66	22	210	2	13	0	
3	4	70	22	210	3	13	0	
4	5	27	29	226	1	1	0	
5	6	40	29	226	2	1	0	
6	7	47	29	226	3	1	0	
7	8	60	29	226	4	1	0	
8	9	72	29	226	5	1	0	
9	10	82	29	226	6	1	0	
10	11	95	29	226	7	1	0	
11	12	119	29	226	8	1	0	
12	13	76	22	210	4	13	0	
13	14	86	23	24	1	4	2	
14	15	88	29	27	3	4	2	
15	16	89	29	27	4	4	2	
16	17	90	29	27	5	4	2	
17	18	95	23	24	131	4	2	
18	19	101	24	23	11	215	5	
19	19	101	36	23	7	214	5	
20	20	102	21	27	1	82	1	
21	20	102	48	27	21	4	2	
22	21	103	24	30	2	2	3	
23	22	104	39	56	2	82	3	
24	23	108	17	27	3	82	1	
25	23	108	25	27	158	4	2	
26	24	109	29	27	8	4	2	
27	25	110	16	36	7	4	2	
28	25	110	50	36	156	4	3	
29	26	113	16	8	44	4	1	
30	26	113	36	8	45	4	2	
31	26	113	36	8	45	4	1	
32	27	114	16	8	47	4	1	
33	27	114	36	8	45	4	2	
34	27	114	36	8	45	4	1	
35	28	117	37	23	45	4	4	
36	29	118	19	27	4	82	1	
37	29	118	27	27	158	4	2	
38	31	123	20	30	3	2	3	
39	32	124	20	30	4	2	3	
40	33	126	35	391	2	5	1	
41	33	126	35	391	41	4	3	
42	33	127	26	391	1	225	0	
43	33	127	26	391	156	4	3	
44	33	128	24	391	5	82	3	
45	34	131	17	27	132	4	1	
46	34	131	40	27	32	4	2	
47	35	132	17	27	6	82	1	
48	35	132	34	27	30	4	2	
49	36	133	17	27	7	82	1	
50	36	134	34	27	33	4	2	
51	37	135	17	27	8	82	1	
52	37	135	34	27	34	4	2	
53	38	136	17	27	9	82	1	
54	38	136	34	27	35	4	2	
55	39	138	35	391	3	5	1	
56	39	138	35	391	40	4	3	
57	39	139	26	391	2	225	0	
58	39	139	26	391	29	4	3	
59	39	140	24	391	10	82	3	
60	40	143	15	23	158	4	4	
61	40	143	30	23	22	215	5	
62	40	143	40	23	11	82	5	
135	63	240	17	27	136	4	1	
136	63	240	28	27	28	4	2	
137	64	242	38	127	13	4	0	
138	65	244	41	130	13	4	3	
139	65	245	31	130	15	4	0	
140	65	246	27	130	14	4	0	
141	66	248	17	27	15	4	1	
142	66	248	28	27	17	4	2	
143	67	249	17	27	14	4	1	
144	67	249	28	27	19	4	2	
146	68	251	35	138	4	5	1	
145	68	251	35	138	18	82	3	
