VarID	VarName	ProgIDReference	IsCopy	VarSize	Father	Ancestor	Redefines	Redefined	iLevel	PIC	szValues	Type	IsField	IsFiller	NumOfChilds	PosInRecord	iUsage	iSign	ResourceType	OccurID	ReadWrite	Precision	Occurs	ScopeID	Implicit_definition	MemoryPositionInRecord	DisplayPositionInRecord	DisplayedSize	RelatedToFileId	FullVarText	SectionType	NameVisibility
1	WS-HEADER	1	0	38	0	0	0	0	1			0	0	0	7	0	1	0	0	3	2	0	1			1	1	41	0		2	0	
2	WS-EYECATCHER	1	0	16	1	1	0	0	3	X(16)	'LGACDB01------WS'	6	-1	0	0	0	1	0	0	4	2	0	1			1	1	16	0		2	0	
3	WS-TRANSID	1	0	4	1	1	0	0	3	X(4)		6	-1	0	0	1	1	0	0	5	2	0	1			17	17	4	0		2	0	
4	WS-TERMID	1	0	4	1	1	0	0	3	X(4)		6	-1	0	0	2	1	0	0	6	2	0	1			21	21	4	0		2	0	
5	WS-TASKNUM	1	0	7	1	1	0	0	3	9(7)		1	-1	0	0	3	1	0	0	7	2	0	1			25	25	7	0		2	0	
6	WS-FILLER	1	0	1	1	1	0	0	3	X		6	-1	0	0	4	1	0	0	8	2	0	1			32	32	1	0		2	0	
7	WS-ADDR-DFHCOMMAREA	1	0	4	1	1	0	0	3			0	-1	0	0	5	7	0	0	9	2	0	1			33	33	4	0		2	0	
8	WS-CALEN	1	0	2	1	1	0	0	3	S9(4)		1	-1	0	0	6	2	0	0	10	2	0	1			37	37	5	0		2	0	
9	WS-RESP	1	0	4	0	0	0	0	1	S9(8)		1	-1	0	0	1	2	0	0	11	2	0	1			1	1	9	0		2	0	
10	LastCustNum	1	0	4	0	0	0	0	1	S9(8)		1	-1	0	0	2	2	0	0	12	2	0	1			1	1	9	0		2	0	
11	GENAcount	1	0	16	0	0	0	0	1	X(16)	'GENACUSTNUM'	6	-1	0	0	3	1	0	0	13	2	0	1			1	1	16	0		2	0	
12	GENApool	1	0	8	0	0	0	0	1	X(8)	'GENA'	6	-1	0	0	4	1	0	0	14	2	0	1			1	1	8	0		2	0	
13	WS-ABSTIME	1	0	4	0	0	0	0	1	S9(8)	+0	1	-1	0	0	5	2	0	0	15	2	0	1			1	1	9	0		2	0	
14	WS-TIME	1	0	8	0	0	0	0	1	X(8)	SPACES	6	-1	0	0	6	1	0	0	16	2	0	1			1	1	8	0		2	0	
15	WS-DATE	1	0	10	0	0	0	0	1	X(10)	SPACES	6	-1	0	0	7	1	0	0	17	2	0	1			1	1	10	0		2	0	
16	ERROR-MSG	1	0	87	0	0	0	0	1			0	0	0	5	8	1	0	0	18	2	0	1			1	1	87	0		2	0	
17	EM-DATE	1	0	8	16	16	0	0	3	X(8)	SPACES	6	-1	0	0	0	1	0	0	19	2	0	1			1	1	8	0		2	0	
18	FILLER #1	1	0	1	16	16	0	0	3	X	SPACES	6	-1	-1	0	1	1	0	0	20	2	0	1			9	9	1	0		2	0	
19	EM-TIME	1	0	6	16	16	0	0	3	X(6)	SPACES	6	-1	0	0	2	1	0	0	21	2	0	1			10	10	6	0		2	0	
20	FILLER #2	1	0	9	16	16	0	0	3	X(9)	' LGACDB01'	6	-1	-1	0	3	1	0	0	22	2	0	1			16	16	9	0		2	0	
21	EM-VARIABLE	1	0	63	16	16	0	0	3			0	0	0	7	4	1	0	0	23	2	0	1			25	25	63	0		2	0	
22	FILLER #3	1	0	6	21	16	0	0	5	X(6)	' CNUM='	6	-1	-1	0	0	1	0	0	24	2	0	1			25	25	6	0		2	0	
23	EM-CUSNUM	1	0	10	21	16	0	0	5	X(10)	SPACES	6	-1	0	0	1	1	0	0	25	2	0	1			31	31	10	0		2	0	
24	FILLER #4	1	0	6	21	16	0	0	5	X(6)	' PNUM='	6	-1	-1	0	2	1	0	0	26	2	0	1			41	41	6	0		2	0	
25	EM-POLNUM	1	0	10	21	16	0	0	5	X(10)	SPACES	6	-1	0	0	3	1	0	0	27	2	0	1			47	47	10	0		2	0	
26	EM-SQLREQ	1	0	16	21	16	0	0	5	X(16)	SPACES	6	-1	0	0	4	1	0	0	28	2	0	1			57	57	16	0		2	0	
27	FILLER #5	1	0	9	21	16	0	0	5	X(9)	' SQLCODE='	6	-1	-1	0	5	1	0	0	29	2	0	1			73	73	9	0		2	0	
28	EM-SQLRC	1	0	6	21	16	0	0	5	+9(5)		2	-1	0	0	6	1	0	0	30	2	0	1			82	82	6	0		2	0	
29	CDB2AREA	1	0	32500	0	0	0	0	1			0	0	0	7	9	1	0	0	31	2	0	1			1	1	32500	0		2	0	
30	D2-REQUEST-ID	1	0	6	29	29	0	0	3	X(6)		6	-1	0	0	0	1	0	0	32	2	0	1			1	1	6	0		2	0	
31	D2-RETURN-CODE	1	0	2	29	29	0	0	3	9(2)		1	-1	0	0	1	1	0	0	33	2	0	1			7	7	2	0		2	0	
32	D2-CUSTOMER-NUM	1	0	10	29	29	0	0	3	9(10)		1	-1	0	0	2	1	0	0	34	2	0	1			9	9	10	0		2	0	
33	D2-CUSTSECR-PASS	1	0	32	29	29	0	0	3	X(32)		6	-1	0	0	3	1	0	0	35	2	0	1			19	19	32	0		2	0	
34	D2-CUSTSECR-COUNT	1	0	4	29	29	0	0	3	X(4)		6	-1	0	0	4	1	0	0	36	2	0	1			51	51	4	0		2	0	
35	D2-CUSTSECR-STATE	1	0	1	29	29	0	0	3	X		6	-1	0	0	5	1	0	0	37	2	0	1			55	55	1	0		2	0	
36	D2-CUSTSECR-DATA	1	0	32445	29	29	0	0	3	X(32445)		6	-1	0	0	6	1	0	0	38	2	0	1			56	56	32445	0		2	0	
37	CA-ERROR-MSG	1	0	99	0	0	0	0	1			0	0	0	2	10	1	0	0	39	2	0	1			1	1	99	0		2	0	
38	FILLER #6	1	0	9	37	37	0	0	3	X(9)	'COMMAREA='	6	-1	-1	0	0	1	0	0	40	2	0	1			1	1	9	0		2	0	
39	CA-DATA	1	0	90	37	37	0	0	3	X(90)	SPACES	6	-1	0	0	1	1	0	0	41	2	0	1			10	10	90	0		2	0	
40	LGACDB02	1	0	8	0	0	0	0	77	X(8)	'LGACDB02'	6	-1	0	0	11	1	0	0	42	2	0	1			1	1	8	0		2	0	
41	LGACVS01	1	0	8	0	0	0	0	77	X(8)	'LGACVS01'	6	-1	0	0	12	1	0	0	43	2	0	1			1	1	8	0		2	0	
42	LGAC-NCS	1	0	2	0	0	0	0	77	X(2)	'ON'	6	-1	0	0	13	1	0	0	44	2	0	1			1	1	2	0		2	0	
43	WS-COMMAREA-LENGTHS	1	0	6	0	0	0	0	1			0	0	0	2	14	1	0	0	45	2	0	1			1	1	10	0		2	0	
44	WS-CA-HEADER-LEN	1	0	2	43	43	0	0	3	S9(4)	+18	1	-1	0	0	0	2	0	0	46	2	0	1			1	1	5	0		2	0	
45	WS-REQUIRED-CA-LEN	1	0	4	43	43	0	0	3	S9(4)	+0	1	-1	0	0	1	1	0	0	47	2	0	1			3	6	5	0		2	0	
46	WS-POLICY-LENGTHS	1	-1	26	0	0	0	0	1			0	0	0	13	15	1	0	0	49	2	0	1			1	1	65	0		2	0	
47	WS-CUSTOMER-LEN	1	-1	2	46	46	0	0	3	S9(4)	+72	1	-1	0	0	0	2	0	0	50	2	0	1			1	1	5	0		2	0	
48	WS-POLICY-LEN	1	-1	2	46	46	0	0	3	S9(4)	+72	1	-1	0	0	1	2	0	0	51	2	0	1			3	6	5	0		2	0	
49	WS-ENDOW-LEN	1	-1	2	46	46	0	0	3	S9(4)	+52	1	-1	0	0	2	2	0	0	52	2	0	1			5	11	5	0		2	0	
50	WS-HOUSE-LEN	1	-1	2	46	46	0	0	3	S9(4)	+58	1	-1	0	0	3	2	0	0	53	2	0	1			7	16	5	0		2	0	
51	WS-MOTOR-LEN	1	-1	2	46	46	0	0	3	S9(4)	+65	1	-1	0	0	4	2	0	0	54	2	0	1			9	21	5	0		2	0	
52	WS-COMM-LEN	1	-1	2	46	46	0	0	3	S9(4)	+1102	1	-1	0	0	5	2	0	0	55	2	0	1			11	26	5	0		2	0	
53	WS-CLAIM-LEN	1	-1	2	46	46	0	0	3	S9(4)	+546	1	-1	0	0	6	2	0	0	56	2	0	1			13	31	5	0		2	0	
54	WS-FULL-ENDOW-LEN	1	-1	2	46	46	0	0	3	S9(4)	+124	1	-1	0	0	7	2	0	0	57	2	0	1			15	36	5	0		2	0	
